fold,smoothing,test_size,SEED,learning_rate,add_noise,batch_size,tau,activation,H,sigma,momentum,grad_norm_threshold,patience,n_splits,preprocess_mode,max_epochs,nll_train,nll_val,nll_test,acc_train,acc_val,acc_test,train_time
1,0.01,0.1,42,0.01,True,512,1e-05,softmax,1000,0.01,0.9,0,20,9,rumnet,50,0.3473094701766968,0.5332034826278687,0.42478081583976746,0.8615743440233237,0.789179104477612,0.8264925373134329,69.28458166122437
2,0.01,0.1,42,0.01,True,512,1e-05,softmax,1000,0.01,0.9,0,20,9,rumnet,50,0.38735705614089966,0.5316200852394104,0.4621138870716095,0.8434985422740525,0.7761194029850746,0.7919776119402985,69.50610089302063
3,0.01,0.1,42,0.01,True,512,1e-05,softmax,1000,0.01,0.9,0,20,9,rumnet,50,0.3741282820701599,0.5461395978927612,0.4344528019428253,0.8497959183673469,0.7835820895522388,0.8227611940298507,65.70406675338745
4,0.01,0.1,42,0.01,True,512,1e-05,softmax,1000,0.01,0.9,0,20,9,rumnet,50,0.38026031851768494,0.517404317855835,0.45683005452156067,0.8461807580174927,0.7807835820895522,0.7938432835820896,65.85057282447815
5,0.01,0.1,42,0.01,True,512,1e-05,softmax,1000,0.01,0.9,0,20,9,rumnet,50,0.4065326452255249,0.5636997222900391,0.43282172083854675,0.833935860058309,0.7835820895522388,0.808768656716418,63.783217430114746
6,0.01,0.1,42,0.01,True,512,1e-05,softmax,1000,0.01,0.9,0,20,9,rumnet,50,0.35787710547447205,0.5466490983963013,0.39716076850891113,0.8584256559766764,0.773320895522388,0.8451492537313433,67.90558218955994
7,0.01,0.1,42,0.01,True,512,1e-05,softmax,1000,0.01,0.9,0,20,9,rumnet,50,0.385754257440567,0.5540599226951599,0.44918292760849,0.84932944606414,0.7649253731343284,0.8171641791044776,61.787957429885864
8,0.01,0.1,42,0.01,True,512,1e-05,softmax,1000,0.01,0.9,0,20,9,rumnet,50,0.42159467935562134,0.5212517380714417,0.45345067977905273,0.8242565597667638,0.7798507462686567,0.8069029850746269,61.843546628952026
9,0.01,0.1,42,0.01,True,512,1e-05,softmax,1000,0.01,0.9,0,20,9,rumnet,50,0.36621227860450745,0.5336155891418457,0.4174017906188965,0.8527285447761194,0.7908496732026143,0.8274253731343284,70.0033962726593
1,0.01,0.1,42,0.01,True,512,1e-05,softmax,32,0.01,0.9,0,20,9,rumnet,50,0.38063785433769226,0.5476143956184387,0.4721089005470276,0.8467638483965014,0.7910447761194029,0.8199626865671642,7.5538294315338135
2,0.01,0.1,42,0.01,True,512,1e-05,softmax,32,0.01,0.9,0,20,9,rumnet,50,0.44295576214790344,0.5824112296104431,0.5173678994178772,0.8226239067055393,0.7555970149253731,0.7723880597014925,5.894091367721558
3,0.01,0.1,42,0.01,True,512,1e-05,softmax,32,0.01,0.9,0,20,9,rumnet,50,0.430120587348938,0.5604659914970398,0.4979369342327118,0.8250728862973761,0.7686567164179104,0.7975746268656716,6.5714826583862305
4,0.01,0.1,42,0.01,True,512,1e-05,softmax,32,0.01,0.9,0,20,9,rumnet,50,0.41963881254196167,0.5566824674606323,0.4973357915878296,0.8330029154518951,0.7863805970149254,0.7985074626865671,6.581237554550171
5,0.01,0.1,42,0.01,True,512,1e-05,softmax,32,0.01,0.9,0,20,9,rumnet,50,0.3927987813949585,0.5759022831916809,0.4564497470855713,0.8425655976676385,0.769589552238806,0.8059701492537313,6.574918270111084
6,0.01,0.1,42,0.01,True,512,1e-05,softmax,32,0.01,0.9,0,20,9,rumnet,50,0.42872944474220276,0.5743038654327393,0.4814600944519043,0.8295043731778425,0.7583955223880597,0.8022388059701493,6.608645439147949
7,0.01,0.1,42,0.01,True,512,1e-05,softmax,32,0.01,0.9,0,20,9,rumnet,50,0.4398645758628845,0.5733242034912109,0.5023940205574036,0.8225072886297377,0.7686567164179104,0.792910447761194,6.129373550415039
